Title,Authors,Year,Publisher,Citations,Link
Heart disease prediction using machine learning techniques,"D Shah, S Patel, SK Bharti ",2020, Springer,630,https://link.springer.com/article/10.1007/s42979-020-00365-y
 Effective heart disease prediction using machine learning techniques,"CM Bhatt, P Patel, T Ghetia, PL Mazzeo ",2023, mdpi,343,https://www.mdpi.com/1999-4893/16/2/88
Heart disease prediction using machine learning algorithms,"H Jindal, S Agrawal, R Khera, R Jain… ",2021, iopscience,346,https://iopscience.iop.org/article/10.1088/1757-899X/1022/1/012072/meta
Heart disease prediction using machine learning algorithms,"A Singh, R Kumar ",2020, ieeexplore,379,https://ieeexplore.ieee.org/abstract/document/9122958/
 Heart disease prediction using machine learning techniques: a survey,"VV Ramalingam, A Dandapath… ",2018, researchgate,378,https://www.researchgate.net/profile/V-V-Ramalingam/publication/325116774_Heart_disease_prediction_using_machine_learning_techniques_A_survey/links/5d48560a299bf1995b68266f/Heart-disease-prediction-using-machine-learning-techniques-A-survey.pdf
Effective heart disease prediction using hybrid machine learning techniques,"S Mohan, C Thirumalai, G Srivastava ",2019, ieeexplore,1846,https://ieeexplore.ieee.org/abstract/document/8740989/
Heart disease prediction using machine learning techniques,"V Sharma, S Yadav, M Gupta ",2020, ieeexplore,200,https://ieeexplore.ieee.org/abstract/document/9362842/
Heart disease prediction using machine learning techniques,"A Garg, B Sharma, R Khan ",2021, iopscience,101,https://iopscience.iop.org/article/10.1088/1757-899X/1022/1/012046/meta
Machine learning techniques for heart disease prediction: a comparative study and analysis,"R Katarya, SK Meena ",2021, Springer,230,https://link.springer.com/article/10.1007/s12553-020-00505-7
Heart disease prediction using machine learning,"A Srivastava, A kumar Singh ",2022, ieeexplore,274,https://ieeexplore.ieee.org/abstract/document/9823584/
 Heart disease prediction using machine learning and data mining technique,"J Patel, D TejalUpadhyay, S Patel ",2015, researchgate,269,https://www.researchgate.net/profile/Samir-Patel-9/publication/309210947_Heart_Disease_prediction_using_Machine_learning_and_Data_Mining_Technique/links/5805eb0f08ae03256b75d9a1/Heart-Disease-prediction-using-Machine-learning-and-Data-Mining-Technique.pdf
Heart disease prediction using machine learning,"C Boukhatem, HY Youssef… ",2022, ieeexplore,117,https://ieeexplore.ieee.org/abstract/document/9734880/
Heart disease prediction using hybrid machine learning model,"M Kavitha, G Gnaneswar, R Dinesh… ",2021, ieeexplore,415,https://ieeexplore.ieee.org/abstract/document/9358597/
Heart disease prediction using supervised machine learning algorithms: Performance analysis and comparison,"MM Ali, BK Paul, K Ahmed, FM Bui, JMW Quinn… ",2021, Elsevier,438,https://www.sciencedirect.com/science/article/pii/S0010482521004662
Machine learning techniques for heart disease prediction,"S Poorani, D Hemalatha ",2021, nnpub,94,http://nnpub.in/index.php/JCDR/article/view/1390
 Enhancing heart disease prediction accuracy through machine learning techniques and optimization,"N Chandrasekhar, S Peddakrishna ",2023, mdpi,169,https://www.mdpi.com/2227-9717/11/4/1210
Using machine learning for heart disease prediction,"DE Salhi, A Tari, MT Kechadi ",2020, Springer,77,https://link.springer.com/chapter/10.1007/978-3-030-69418-0_7
 A review on heart disease prediction using machine learning and data analytics approach,"M Marimuthu, M Abinaya, KS Hariesh… ",2018, academia,101,https://www.academia.edu/download/89580552/ac3c4c03830313d384111c9d1c2f6e77c114.pdf
