Title,Authors,Year,Publisher,Citations,Link,References
Large language models in medicine,"AJ Thirunavukarasu, DSJ Ting, K Elangovan… ",2023,nature,2152,https://www.nature.com/articles/s41591-023-02448-8,"https://scholar.google.com/scholar?q=related:Ph9AwHTmhzAJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
ChatGPT for good? On opportunities and challenges of large language models for education,"E Kasneci, K Seßler, S Küchemann, M Bannert… ",2023,Elsevier,4155,https://www.sciencedirect.com/science/article/pii/S1041608023000195,"https://scholar.google.com/scholar?q=related:uthwmf2nU3EJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
A survey of large language models,"WX Zhao, K Zhou, J Li, T Tang… ",2023,paper-notes,3977,https://paper-notes.zhjwpku.com/assets/pdfs/llm_survey_2303.18223.pdf,"https://scholar.google.com/scholar?q=related:Laj3JsRSUToJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
A comprehensive overview of large language models,"H Naveed, AU Khan, S Qiu, M Saqib, S Anwar… ",2023,arxiv,818,https://arxiv.org/abs/2307.06435,"https://scholar.google.com/scholar?q=related:UDLkJGuOVl4J:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Bloomberggpt: A large language model for finance,"S Wu, O Irsoy, S Lu, V Dabravolski… ",2023,huggingface,972,https://huggingface.co/spaces/itsmariamaraki/AAI-Assessment3/resolve/28f1bb856f1c08d81c0246fa55ea5ca421205004/BloombergGPT.pdf,"https://scholar.google.com/scholar?q=related:06Q2zZiTQzIJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
A survey on evaluation of large language models,"Y Chang, X Wang, J Wang, Y Wu, L Yang… ",2024,dl,2431,https://dl.acm.org/doi/abs/10.1145/3641289,"https://scholar.google.com/scholar?q=related:o93zfHYlUTIJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
A survey on large language model based autonomous agents,"L Wang, C Ma, X Feng, Z Zhang, H Yang… ",2024,Springer,1082,https://link.springer.com/article/10.1007/s11704-024-40231-1,"https://scholar.google.com/scholar?q=related:OcsgIIZCcscJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
A large language model for electronic health records,"X Yang, A Chen, N PourNejatian, HC Shin… ",2022,nature,553,https://www.nature.com/articles/s41746-022-00742-2,"https://scholar.google.com/scholar?q=related:NXPKCedOOhsJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
A watermark for large language models,"J Kirchenbauer, J Geiping, Y Wen… ",2023,proceedings,711,https://proceedings.mlr.press/v202/kirchenbauer23a.html,"https://scholar.google.com/scholar?q=related:BlSyLHT4iiEJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Galactica: A large language model for science,"R Taylor, M Kardas, G Cucurull, T Scialom… ",2022,galactica,750,https://galactica.org/static/paper.pdf,"https://scholar.google.com/scholar?q=related:fr-y9kV0BtsJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
FinBERT: A large language model for extracting information from financial text,"AH Huang, H Wang, Y Yang ",2023,Wiley Online Library,435,https://onlinelibrary.wiley.com/doi/abs/10.1111/1911-3846.12832,"https://scholar.google.com/scholar?q=related:Y9k_5AKer-UJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Large language models encode clinical knowledge,"K Singhal, S Azizi, T Tu, SS Mahdavi, J Wei, HW Chung… ",2023,nature,2013,https://www.nature.com/articles/s41586-023-06291-2).,"https://scholar.google.com/scholar?q=related:kJdgqZdRQnwJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
